lsoa21cd,msoa21cd,lad22cd,uk_COB,europe_eu_countries_COB,europe_non_eu_countries_COB,africa_COB,asia_middle_east_COB,americas_carribean_COB,antarctica_oceana_COB,british_overseas_COB,bangladesh_ethnicity,chinese_ethnicity,indian_ethnicity,pakistani_ethnicity,asian_other_ethnicity,african_ethnicity,caribbean_ethnicity,afro_caribbean_other_ethnicity,white_english_ethnicity,white_irish_ethnicity,white_gypsy_irish_traveller_ethnicity,white_roma_ethnicity,white_other_ethnicity,arab_ethnicity,any_other_ethnicity,total_number_of_households,household_w_dep_kid_0_4_count,household_w_dep_kid_5_9_count,household_w_dep_kid_0_4_prop,household_w_dep_kid_5_9_prop,eligible,share_of_eligible
E01011738,E02002412,E08000035,1416,41,4,11,18,5,4,0,0,0,4,0,11,2,1,1,1345,22,0,0,37,1,15,652,57,50,8.742331288343559,7.668711656441718,107,16.411042944785276
E01011727,E02002409,E08000035,1414,59,9,32,31,3,2,0,5,1,10,5,2,23,6,25,1319,19,0,0,47,2,17,683,68,47,9.956076134699854,6.881405563689604,115,16.837481698389457
E01011725,E02002407,E08000035,1265,125,8,62,53,1,1,0,0,2,22,0,18,86,3,17,1124,14,0,6,108,4,16,681,99,66,14.537444933920705,9.691629955947137,165,24.229074889867842
E01011729,E02002407,E08000035,1316,236,9,31,78,20,2,5,0,6,97,0,16,44,25,4,1150,11,4,10,185,1,20,802,92,55,11.471321695760599,6.85785536159601,147,18.32917705735661
E01011726,E02002409,E08000035,1397,72,12,54,25,1,0,0,0,0,12,0,10,65,7,11,1326,1,2,0,76,1,1,661,103,63,15.582450832072617,9.531013615733738,166,25.113464447806354
E01011731,E02002410,E08000035,1322,37,2,22,35,7,2,0,0,3,18,0,31,14,6,3,1254,5,3,0,30,1,8,595,55,45,9.243697478991596,7.563025210084033,100,16.80672268907563
E01011732,E02002410,E08000035,1672,127,11,48,101,25,0,1,3,9,43,3,7,45,22,5,1546,17,0,9,101,37,9,808,94,47,11.633663366336634,5.816831683168317,141,17.45049504950495
E01011733,E02002410,E08000035,1439,87,7,12,20,7,3,0,1,2,8,1,6,15,10,1,1358,10,1,5,80,5,8,727,71,47,9.766162310866575,6.464924346629986,118,16.23108665749656
E01033016,E02006875,E08000035,737,158,5,14,111,18,1,0,9,19,10,9,31,14,11,3,638,17,13,1,155,49,15,701,13,13,1.854493580599144,1.854493580599144,26,3.708987161198288
E01033008,E02006875,E08000035,1429,166,28,88,388,42,7,1,7,154,41,7,55,81,16,5,1223,27,0,3,187,109,38,593,7,4,1.1804384485666104,0.67453625632377745,11,1.854974704890388
E01033010,E02006875,E08000035,1757,257,42,107,1256,48,11,5,14,836,44,14,119,89,31,6,1520,13,1,8,276,224,66,761,2,3,0.2628120893561104,0.39421813403416556,5,0.657030223390276
E01033015,E02006875,E08000035,964,204,19,37,232,44,8,6,1,38,19,1,34,20,12,0,869,29,0,9,218,84,22,937,21,7,2.2411953041622197,0.7470651013874067,28,2.9882604055496267
E01035054,E02006876,E08000035,1854,277,32,63,255,74,13,3,4,57,22,4,49,52,40,9,1682,19,0,9,287,42,36,1385,43,11,3.104693140794224,0.7942238267148014,54,3.898916967509025
E01033011,E02006875,E08000035,937,157,21,48,136,30,11,0,0,29,4,0,12,41,7,3,853,28,0,10,161,31,13,747,20,3,2.677376171352075,0.40160642570281124,23,3.0789825970548863
E01035047,E02002411,E08000035,896,180,4,146,67,27,10,3,0,4,52,0,37,218,26,40,645,10,0,6,164,11,35,631,48,64,7.606973058637084,10.142630744849445,112,17.74960380348653
E01035046,E02002411,E08000035,754,114,10,35,222,20,4,2,1,23,13,1,16,31,17,3,643,12,1,1,124,39,13,765,25,11,3.2679738562091503,1.4379084967320261,36,4.705882352941177
E01033033,E02002404,E08000035,1102,122,12,47,296,36,3,0,1,15,10,1,25,38,12,13,990,23,0,3,121,22,27,658,48,31,7.2948328267477205,4.711246200607903,79,12.006079027355623
E01033034,E02002404,E08000035,1130,155,11,22,125,28,9,0,2,37,14,2,17,16,8,14,1001,22,0,0,156,19,20,916,28,6,3.056768558951965,0.6550218340611353,34,3.7117903930131004
E01011734,E02002412,E08000035,2456,125,16,75,97,18,6,1,7,17,43,7,22,84,8,29,2208,14,56,0,144,12,22,1199,157,100,13.094245204336948,8.340283569641368,257,21.434528773978315
E01011735,E02002407,E08000035,1494,70,3,57,58,7,1,0,0,18,13,0,6,93,5,21,1347,14,2,0,71,20,19,719,81,82,11.265646731571627,11.404728789986091,163,22.67037552155772
E01011728,E02002409,E08000035,1330,19,5,7,16,7,1,0,0,7,21,0,2,3,0,0,1281,8,0,0,34,0,0,618,45,34,7.281553398058253,5.501618122977346,79,12.783171521035598
E01011739,E02002409,E08000035,1440,89,4,39,27,3,0,0,1,9,10,1,11,50,3,6,1381,13,1,1,58,1,5,741,72,62,9.7165991902834,8.367071524966262,134,18.083670715249664
E01011736,E02002412,E08000035,1325,31,5,13,22,4,3,0,0,4,30,0,5,12,4,4,1212,15,3,0,21,0,2,645,58,43,8.992248062015504,6.666666666666667,101,15.65891472868217
E01011737,E02002412,E08000035,1380,79,0,23,38,11,2,0,1,5,6,1,7,16,9,4,1314,13,7,0,78,4,6,768,69,58,8.984375,7.552083333333333,127,16.536458333333332
E01011730,E02002407,E08000035,1414,81,3,47,10,3,4,0,0,0,10,0,6,46,5,3,1340,10,0,2,75,4,5,676,107,63,15.828402366863905,9.319526627218934,170,25.14792899408284
