lsoa21cd,msoa21cd,lad22cd,uk_COB,europe_eu_countries_COB,europe_non_eu_countries_COB,africa_COB,asia_middle_east_COB,americas_carribean_COB,antarctica_oceana_COB,british_overseas_COB,bangladesh_ethnicity,chinese_ethnicity,indian_ethnicity,pakistani_ethnicity,asian_other_ethnicity,african_ethnicity,caribbean_ethnicity,afro_caribbean_other_ethnicity,white_english_ethnicity,white_irish_ethnicity,white_gypsy_irish_traveller_ethnicity,white_roma_ethnicity,white_other_ethnicity,arab_ethnicity,any_other_ethnicity,total_number_of_households,household_w_dep_kid_0_4_count,household_w_dep_kid_5_9_count,household_w_dep_kid_0_4_prop,household_w_dep_kid_5_9_prop,eligible,share_of_eligible
E01011318,E02002419,E08000035,1129,120,14,205,66,16,1,0,13,3,20,13,29,283,12,27,913,4,0,3,117,11,33,637,103,84,16.16954474097331,13.186813186813186,187,29.356357927786497
E01011317,E02002419,E08000035,1329,175,8,190,66,6,1,0,0,7,52,0,18,234,24,37,1121,19,3,3,130,10,20,883,109,67,12.344280860702153,7.587768969422424,176,19.932049830124576
E01011319,E02002420,E08000035,1189,141,5,53,209,7,1,0,98,29,291,98,31,52,7,4,779,14,2,8,116,16,52,617,98,53,15.883306320907618,8.589951377633712,151,24.473257698541328
E01011337,E02002387,E08000035,1490,132,6,73,27,5,1,0,0,10,20,0,2,79,6,14,1354,7,0,6,137,15,11,568,108,90,19.014084507042252,15.845070422535212,198,34.859154929577464
E01011336,E02002387,E08000035,1444,49,7,20,20,9,2,1,0,4,5,0,10,21,4,5,1407,8,0,0,41,2,11,833,60,49,7.202881152460985,5.882352941176471,109,13.085234093637455
E01011335,E02002381,E08000035,1594,55,5,11,41,3,1,0,0,0,20,0,7,7,1,2,1535,17,1,0,59,5,3,833,86,75,10.324129651860744,9.003601440576231,161,19.327731092436974
E01011325,E02002375,E08000035,1464,84,5,40,45,4,4,3,0,12,17,0,20,43,1,2,1379,7,0,3,90,2,20,755,100,50,13.245033112582782,6.622516556291391,150,19.867549668874172
E01011326,E02002375,E08000035,1293,122,3,39,15,12,3,0,1,4,9,1,4,51,6,7,1219,5,0,8,101,14,1,630,74,71,11.746031746031745,11.26984126984127,145,23.015873015873016
E01011329,E02002380,E08000035,1391,56,3,15,13,9,6,0,0,2,1,0,2,12,3,1,1366,8,0,4,45,1,16,705,52,43,7.375886524822695,6.099290780141844,95,13.47517730496454
E01011323,E02002380,E08000035,1225,32,0,20,17,1,2,0,0,10,11,0,8,10,1,1,1169,9,0,0,20,1,10,604,55,33,9.105960264900663,5.4635761589403975,88,14.56953642384106
E01011332,E02002375,E08000035,1422,87,8,55,38,8,4,0,0,1,3,0,11,95,19,10,1284,5,0,3,91,10,23,695,99,69,14.244604316546763,9.928057553956835,168,24.172661870503596
E01011328,E02002381,E08000035,1493,60,9,11,12,4,1,1,0,5,0,0,3,12,5,0,1436,10,0,0,59,7,0,711,86,55,12.09563994374121,7.7355836849507735,141,19.831223628691983
E01011331,E02002387,E08000035,1235,47,5,16,23,9,5,0,0,2,12,0,8,21,2,0,1186,10,1,6,49,2,10,631,54,37,8.55784469096672,5.863708399366086,91,14.421553090332806
E01011334,E02002387,E08000035,1271,75,5,23,15,6,6,0,0,1,8,0,2,31,6,4,1216,10,0,1,54,0,11,691,54,40,7.814761215629522,5.788712011577424,94,13.603473227206946
E01011330,E02002380,E08000035,1273,32,4,16,10,5,3,3,1,1,7,1,0,19,8,8,1235,7,0,0,20,4,2,584,51,50,8.732876712328768,8.561643835616438,101,17.294520547945204
E01011327,E02002381,E08000035,1267,26,7,18,26,3,0,1,0,7,8,0,2,25,0,3,1206,7,3,0,31,1,10,655,78,36,11.908396946564885,5.4961832061068705,114,17.404580152671755
E01011324,E02002375,E08000035,1547,133,9,95,31,13,6,3,0,3,9,0,7,131,10,29,1386,6,0,1,121,15,12,554,100,59,18.050541516245488,10.649819494584838,159,28.700361010830324
E01011353,E02002363,E08000035,1652,111,5,31,70,53,12,1,0,12,29,0,9,23,76,20,1392,35,0,1,123,7,28,843,94,49,11.150652431791222,5.812574139976276,143,16.963226571767496
E01011356,E02002371,E08000035,1493,120,8,93,192,106,3,4,6,10,112,6,60,64,215,46,915,24,1,7,118,15,85,936,73,38,7.799145299145299,4.05982905982906,111,11.85897435897436
E01011358,E02002371,E08000035,1140,67,5,102,170,65,0,3,11,17,100,11,55,109,170,32,673,41,2,0,53,15,52,722,65,55,9.002770083102494,7.617728531855955,120,16.62049861495845
E01011357,E02002367,E08000035,1382,140,8,183,215,114,6,8,40,25,222,40,101,224,245,105,591,21,0,8,114,10,76,906,94,72,10.375275938189846,7.947019867549669,166,18.322295805739515
E01011361,E02002371,E08000035,1698,191,15,361,343,233,3,17,291,16,279,291,127,444,594,165,333,18,1,9,164,36,115,1135,155,87,13.656387665198238,7.665198237885463,242,21.3215859030837
