"postcode","ls_tag"
"BD111LB",0
"BD11 1LB",0
"BD111LD",0
"BD11 1LD",0
"BD111LE",0
"BD11 1LE",0
"BD111LH",0
"BD11 1LH",0
"BD111LJ",0
"BD11 1LJ",0
"BD111LL",0
"BD11 1LL",0
"BD111LN",0
"BD11 1LN",0
"BD111LQ",0
"BD11 1LQ",0
"BD111LR",0
"BD11 1LR",0
"BD111LS",0
"BD11 1LS",0
"BD111LT",0
"BD11 1LT",0
"BD111LU",0
"BD11 1LU",0
"BD111LW",0
"BD11 1LW",0
"BD111LX",0
"BD11 1LX",0
"BD111LY",0
"BD11 1LY",0
"BD111LZ",0
"BD11 1LZ",0
"BD111NA",0
"BD11 1NA",0
"BD111NB",0
"BD11 1NB",0
"BD111ND",0
"BD11 1ND",0
"BD111NE",0
"BD11 1NE",0
"BD111NF",0
"BD11 1NF",0
"BD111NG",0
"BD11 1NG",0
"BD111NH",0
"BD11 1NH",0
"BD111NL",0
"BD11 1NL",0
"BD111NP",0
"BD11 1NP",0
"BD111NQ",0
"BD11 1NQ",0
"BD111NW",0
"BD11 1NW",0
"BD111UZ",0
"BD11 1UZ",0
"BD111WA",0
"BD11 1WA",0
"BD111YH",0
"BD11 1YH",0
"BD111YN",0
"BD11 1YN",0
"BD111YS",0
"BD11 1YS",0
"BD111YU",0
"BD11 1YU",0
"BD111YZ",0
"BD11 1YZ",0
"BD3 7AG",0
"BD3  7AG",0
"BD3 7AT",0
"BD3  7AT",0
"BD3 7AX",0
"BD3  7AX",0
"BD3 7AY",0
"BD3  7AY",0
"BD3 7AZ",0
"BD3  7AZ",0
"BD3 7BA",0
"BD3  7BA",0
"BD3 7BB",0
"BD3  7BB",0
"BD3 7BD",0
"BD3  7BD",0
"BD3 7BE",0
"BD3  7BE",0
"BD3 7BG",0
"BD3  7BG",0
"BD3 7DF",0
"BD3  7DF",0
"BD3 7DG",0
"BD3  7DG",0
"BD3 7DH",0
"BD3  7DH",0
"BD3 7DJ",0
"BD3  7DJ",0
"BD3 7DN",0
"BD3  7DN",0
"BD3 7DQ",0
"BD3  7DQ",0
"BD3 7FD",0
"BD3  7FD",0
"BD3 7FE",0
"BD3  7FE",0
"BD3 7FF",0
"BD3  7FF",0
"BD3 7FG",0
"BD3  7FG",0
"BD3 7FH",0
"BD3  7FH",0
"BD3 7FJ",0
"BD3  7FJ",0
"BD3 7FL",0
"BD3  7FL",0
"BD3 7FN",0
"BD3  7FN",0
"BD3 8QD",0
"BD3  8QD",0
"BD3 8QF",0
"BD3  8QF",0
"BD4 0BN",0
"BD4  0BN",0
"BD4 0BW",0
"BD4  0BW",0
"BD4 0DD",0
"BD4  0DD",0
"BD4 0DT",0
"BD4  0DT",0
"BD4 0DU",0
"BD4  0DU",0
"BD4 0FA",0
"BD4  0FA",0
"BD4 0FB",0
"BD4  0FB",0
"BD4 0FD",0
"BD4  0FD",0
"BD4 0FE",0
"BD4  0FE",0
"BD4 0FF",0
"BD4  0FF",0
"BD4 0FG",0
"BD4  0FG",0
"BD4 0FH",0
"BD4  0FH",0
"BD4 0FJ",0
"BD4  0FJ",0
"BD4 0RE",0
"BD4  0RE",0
"BD4 0RF",0
"BD4  0RF",0
"BD4 0RZ",0
"BD4  0RZ",0
"BD4 8AX",0
"BD4  8AX",0
"BD4 8EL",0
"BD4  8EL",0
"BD4 8EN",0
"BD4  8EN",0
"BD4 8EP",0
"BD4  8EP",0
"BD4 8ER",0
"BD4  8ER",0
"BD4 8ES",0
"BD4  8ES",0
"BD4 8ET",0
"BD4  8ET",0
"BD4 8EU",0
"BD4  8EU",0
"BD4 8EW",0
"BD4  8EW",0
"BD4 8EX",0
"BD4  8EX",0
"BD4 8EY",0
"BD4  8EY",0
"BD4 8EZ",0
"BD4  8EZ",0
"BD4 8FA",0
"BD4  8FA",0
"BD4 8HA",0
"BD4  8HA",0
"BD4 8HB",0
"BD4  8HB",0
"BD4 8HD",0
"BD4  8HD",0
"BD4 8HE",0
"BD4  8HE",0
"BD4 8HF",0
"BD4  8HF",0
"BD4 8HG",0
"BD4  8HG",0
"BD4 8HH",0
"BD4  8HH",0
"BD4 8HJ",0
"BD4  8HJ",0
"BD4 8HL",0
"BD4  8HL",0
"BD4 8HN",0
"BD4  8HN",0
"BD4 8HP",0
"BD4  8HP",0
"BD4 8HQ",0
"BD4  8HQ",0
"BD4 8HR",0
"BD4  8HR",0
"BD4 8HS",0
"BD4  8HS",0
"BD4 8HT",0
"BD4  8HT",0
"BD4 8HW",0
"BD4  8HW",0
"BD4 8JP",0
"BD4  8JP",0
"BD4 8LU",0
"BD4  8LU",0
"LS1 1AA",1
"LS1  1AA",1
"LS1 1AB",1
"LS1  1AB",1
"LS1 1AD",1
"LS1  1AD",1
"LS1 1AE",1
"LS1  1AE",1
"LS1 1AJ",1
"LS1  1AJ",1
"LS1 1AL",1
"LS1  1AL",1
"LS1 1AS",1
"LS1  1AS",1
"LS1 1AW",1
"LS1  1AW",1
"LS1 1AZ",1
"LS1  1AZ",1
"LS1 1BA",1
"LS1  1BA",1
"LS1 1BD",1
"LS1  1BD",1
"LS1 1BL",1
"LS1  1BL",1
"LS1 1BN",1
"LS1  1BN",1
"LS1 1BW",1
"LS1  1BW",1
"LS1 1BX",1
"LS1  1BX",1
"LS1 1DA",1
"LS1  1DA",1
"LS1 1DD",1
"LS1  1DD",1
"LS1 1DG",1
"LS1  1DG",1
"LS1 1DH",1
"LS1  1DH",1
"LS1 1DJ",1
"LS1  1DJ",1
"LS1 1DN",1
"LS1  1DN",1
"LS1 1DP",1
"LS1  1DP",1
"LS1 1DX",1
"LS1  1DX",1
"LS1 1EA",1
"LS1  1EA",1
"LS1 1EB",1
"LS1  1EB",1
"LS1 1ED",1
"LS1  1ED",1
"LS1 1EE",1
"LS1  1EE",1
"LS1 1EF",1
"LS1  1EF",1
"LS1 1EG",1
"LS1  1EG",1
"LS1 1EH",1
"LS1  1EH",1
"LS1 1EL",1
"LS1  1EL",1
"LS1 1EW",1
"LS1  1EW",1
"LS1 1FA",1
"LS1  1FA",1
"LS1 1HA",1
"LS1  1HA",1
"LS1 1HB",1
"LS1  1HB",1
"LS1 1HD",1
"LS1  1HD",1
"LS1 1HE",1
"LS1  1HE",1
"LS1 1HF",1
"LS1  1HF",1
"LS1 1HG",1
"LS1  1HG",1
"LS1 1HH",1
"LS1  1HH",1
"LS1 1HJ",1
"LS1  1HJ",1
"LS1 1HN",1
"LS1  1HN",1
"LS1 1HP",1
"LS1  1HP",1
"LS1 1HQ",1
"LS1  1HQ",1
"LS1 1HR",1
"LS1  1HR",1
"LS1 1HS",1
"LS1  1HS",1
"LS1 1HT",1
"LS1  1HT",1
"LS1 1HW",1
"LS1  1HW",1
"LS1 1JF",1
"LS1  1JF",1
"LS1 1JG",1
"LS1  1JG",1
"LS1 1JL",1
"LS1  1JL",1
"LS1 1JP",1
"LS1  1JP",1
"LS1 1JQ",1
"LS1  1JQ",1
"LS1 1JS",1
"LS1  1JS",1
"LS1 1JT",1
"LS1  1JT",1
"LS1 1JW",1
"LS1  1JW",1
"LS1 1JY",1
"LS1  1JY",1
"LS1 1LA",1
"LS1  1LA",1
"LS1 1LB",1
"LS1  1LB",1
"LS1 1LD",1
"LS1  1LD",1
"LS1 1LE",1
"LS1  1LE",1
"LS1 1LF",1
"LS1  1LF",1
"LS1 1LG",1
"LS1  1LG",1
"LS1 1LJ",1
"LS1  1LJ",1
"LS1 1LL",1
"LS1  1LL",1
"LS1 1LN",1
"LS1  1LN",1
"LS1 1LP",1
"LS1  1LP",1
"LS1 1LQ",1
"LS1  1LQ",1
"LS1 1LS",1
"LS1  1LS",1
"LS1 1LT",1
"LS1  1LT",1
"LS1 1LU",1
"LS1  1LU",1
"LS1 1LW",1
"LS1  1LW",1
"LS1 1LX",1
"LS1  1LX",1
"LS1 1LZ",1
"LS1  1LZ",1
"LS1 1NB",1
"LS1  1NB",1
"LS1 1NF",1
"LS1  1NF",1
"LS1 1NN",1
"LS1  1NN",1
"LS1 1NP",1
"LS1  1NP",1
"LS1 1NQ",1
"LS1  1NQ",1
"LS1 1NS",1
"LS1  1NS",1
"LS1 1NU",1
"LS1  1NU",1
"LS1 1NX",1
"LS1  1NX",1
"LS1 1NY",1
"LS1  1NY",1
"LS1 1NZ",1
"LS1  1NZ",1
"LS1 1PA",1
"LS1  1PA",1
"LS1 1PB",1
"LS1  1PB",1
"LS1 1PD",1
"LS1  1PD",1
"LS1 1PE",1
"LS1  1PE",1
"LS1 1PF",1
"LS1  1PF",1
"LS1 1PH",1
"LS1  1PH",1
"LS1 1PJ",1
"LS1  1PJ",1
"LS1 1PL",1
"LS1  1PL",1
"LS1 1PN",1
"LS1  1PN",1
"LS1 1PP",1
"LS1  1PP",1
"LS1 1PQ",1
"LS1  1PQ",1
"LS1 1PR",1
"LS1  1PR",1
"LS1 1PT",1
"LS1  1PT",1
"LS1 1PU",1
"LS1  1PU",1
"LS1 1PW",1
"LS1  1PW",1
"LS1 1QA",1
"LS1  1QA",1
"LS1 1QB",1
"LS1  1QB",1
"LS1 1QE",1
"LS1  1QE",1
"LS1 1QG",1
"LS1  1QG",1
"LS1 1QH",1
"LS1  1QH",1
"LS1 1QL",1
"LS1  1QL",1
"LS1 1QP",1
"LS1  1QP",1
"LS1 1QQ",1
"LS1  1QQ",1
"LS1 1QR",1
"LS1  1QR",1
"LS1 1QS",1
"LS1  1QS",1
"LS1 1QU",1
"LS1  1QU",1
"LS1 1QW",1
"LS1  1QW",1
"LS1 1QX",1
"LS1  1QX",1
"LS1 1QZ",1
"LS1  1QZ",1
"LS1 1RA",1
"LS1  1RA",1
